"time","steps","distance","floors","minutesVery","caloriesBurnedVsIntake","zone1","zone2","zone3","getRestingHeartRateData","weight"
"2015-10-09",9134,4.3645673,20,43,3338,289,20,0,84,214
"2015-10-10",12193,5.8262744,10,4,3652,530,1,1,81.1562280654907,212.5
"2015-10-11",7273,3.4754097,31,0,3321,478,3,0,83.4859008789062,214.2
"2015-10-12",7970,3.808384,5,0,3025,280,4,0,85.8834238052368,NA
"2015-10-13",10565,5.053488,4,0,3438,436,1,0,83.8621759414673,212
"2015-10-14",9106,4.3568187,10,0,3195,332,1,0,82.3451995849609,212.4
"2015-10-15",8201,3.9238162,12,0,3102,261,1,0,80.558557510376,212
"2015-10-16",9324,4.461122,13,0,3479,422,0,0,78.555064201355,212.7
"2015-10-17",9292,4.4458113,7,4,3352,350,2,0,76.9113521575928,NA
"2015-10-18",10166,4.8639817,20,0,3346,302,1,0,78.4283895492554,NA
"2015-10-19",6846,3.2755086,14,0,2877,199,0,0,80.4249114990234,211.6
"2015-10-20",8150,3.899415,16,0,3366,359,0,0,79.0703353881836,212
"2015-10-21",5447,2.606149,14,0,2889,241,0,0,77.0044498443604,211
"2015-10-22",6397,3.0606818,12,0,2929,212,0,0,76.4485082626343,212
"2015-10-23",8104,3.877406,12,0,3501,392,0,0,74.5776357650757,210
"2015-10-24",10500,5.023786,18,8,3490,334,1,0,74.1088876724243,210.8
"2015-10-25",7330,3.507081,34,16,3722,445,9,0,73.8463487625122,NA
"2015-10-26",5631,2.6941848,10,0,2955,209,0,0,74.2087287902832,210
"2015-10-27",5220,2.4975393,6,0,2299,152,0,0,73.3938779830933,210
